               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.020176,            0.012906,           0.0013185,             0.97668,              0.9792,             0.98922,             0.72053,             0.01304,           0.0085632,          0.00016771,           0.0093268,           0.0093268,           0.0093268
                  36,            0.020225,            0.013083,           0.0012758,             0.97686,             0.98097,             0.98862,              0.7207,            0.013093,           0.0084919,          0.00019611,            0.009307,            0.009307,            0.009307
                  37,            0.020442,            0.013363,           0.0013075,             0.98132,             0.97434,             0.98898,             0.72075,            0.013055,           0.0084701,          0.00017588,           0.0092872,           0.0092872,           0.0092872
                  38,             0.02024,             0.01312,           0.0011336,             0.97489,             0.97949,             0.98872,             0.72117,            0.013017,           0.0085094,           0.0002046,           0.0092674,           0.0092674,           0.0092674
                  39,            0.020227,            0.013202,           0.0012942,             0.98221,             0.97601,             0.98964,             0.72324,            0.013007,           0.0084697,          0.00016486,           0.0092476,           0.0092476,           0.0092476
                  40,            0.020228,            0.013161,           0.0012531,             0.97616,              0.9828,             0.98882,             0.72407,            0.012911,           0.0084275,          0.00020999,           0.0092278,           0.0092278,           0.0092278
                  41,             0.02038,            0.013169,           0.0012903,             0.97461,              0.9814,             0.98886,             0.72421,            0.012901,            0.008422,          0.00021103,            0.009208,            0.009208,            0.009208
                  42,            0.020211,            0.013119,           0.0012696,             0.97817,             0.98111,             0.98948,             0.72549,            0.012822,           0.0084043,          0.00016454,           0.0091882,           0.0091882,           0.0091882
                  43,            0.020121,            0.013049,            0.001314,             0.97731,             0.98256,             0.98843,             0.72358,            0.012859,           0.0083943,          0.00019748,           0.0091684,           0.0091684,           0.0091684
                  44,            0.020067,            0.013077,            0.001356,             0.97937,             0.98394,             0.98856,             0.72096,            0.012872,            0.008416,          0.00016607,           0.0091486,           0.0091486,           0.0091486
                  45,            0.019872,            0.012865,           0.0011757,             0.97881,             0.97984,             0.98972,             0.72497,            0.012731,           0.0083554,          0.00018365,           0.0091288,           0.0091288,           0.0091288
                  46,            0.020045,            0.013051,           0.0011929,             0.98016,             0.98234,             0.99027,             0.72566,            0.012686,           0.0083634,          0.00021686,            0.009109,            0.009109,            0.009109
                  47,            0.019802,            0.012936,           0.0010201,              0.9767,             0.98167,             0.98914,             0.72766,            0.012632,           0.0083317,          0.00014173,           0.0090892,           0.0090892,           0.0090892
                  48,            0.019989,            0.013058,           0.0011034,             0.97696,             0.98353,             0.98961,             0.72988,            0.012706,           0.0083439,          0.00014409,           0.0090694,           0.0090694,           0.0090694
                  49,            0.019833,            0.012876,           0.0012747,             0.97851,             0.98112,             0.98947,             0.72993,            0.012616,           0.0082978,          0.00018015,           0.0090496,           0.0090496,           0.0090496
                  50,             0.01994,            0.012983,           0.0012489,             0.97501,             0.98418,             0.98932,              0.7267,             0.01267,           0.0083287,          0.00028723,           0.0090298,           0.0090298,           0.0090298
                  51,            0.019821,            0.012921,           0.0010937,             0.97601,             0.98312,             0.98877,              0.7346,            0.012476,            0.008289,          0.00015314,             0.00901,             0.00901,             0.00901
                  52,            0.019837,            0.013141,           0.0013306,             0.97478,             0.98496,             0.98868,              0.7286,            0.012539,           0.0083077,          0.00015341,           0.0089902,           0.0089902,           0.0089902
                  53,            0.019515,             0.01287,           0.0010085,             0.97355,             0.98607,             0.98895,             0.73136,            0.012495,           0.0083012,          0.00021658,           0.0089704,           0.0089704,           0.0089704
                  54,            0.019362,             0.01284,           0.0012739,             0.97425,             0.98535,             0.98885,             0.73184,            0.012561,           0.0082835,          0.00014928,           0.0089506,           0.0089506,           0.0089506
                  55,            0.019707,            0.012899,           0.0012199,             0.97975,             0.97803,              0.9881,             0.73076,             0.01259,            0.008273,          0.00015135,           0.0089308,           0.0089308,           0.0089308
                  56,            0.019732,            0.013113,           0.0011104,             0.97717,             0.98157,             0.98834,             0.73186,            0.012562,           0.0083231,          0.00013356,            0.008911,            0.008911,            0.008911
                  57,            0.019492,            0.012742,           0.0012161,             0.98055,             0.97791,             0.98895,             0.73307,            0.012485,            0.008273,           0.0001266,           0.0088912,           0.0088912,           0.0088912
                  58,            0.019519,             0.01277,           0.0011274,             0.98148,               0.982,             0.98896,             0.73318,             0.01246,           0.0082474,           0.0001244,           0.0088714,           0.0088714,           0.0088714
                  59,            0.019588,            0.012714,            0.001188,             0.97556,             0.98387,             0.98924,             0.73532,            0.012467,           0.0082713,          0.00010614,           0.0088516,           0.0088516,           0.0088516
                  60,            0.019601,            0.012966,           0.0010053,             0.97673,             0.98172,             0.98988,             0.73421,            0.012427,           0.0082751,          0.00011699,           0.0088318,           0.0088318,           0.0088318
                  61,             0.01913,            0.012563,           0.0010844,             0.97873,             0.98054,             0.98945,             0.73497,            0.012403,           0.0082281,          0.00011746,            0.008812,            0.008812,            0.008812
